"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC#1 : Verify the Error message on the VWO Login Page","8074","test_VWOLogin_Negative","Default Suite","Tue Oct 07 19:10:03 IST 2025","passed","Tue Oct 07 19:10:11 IST 2025","com.avinashsinha.SN04_Selenium_Waits.SW03_Test_Selenium_ExplicitWait","Selenium_Learning","com.avinashsinha.SN04_Selenium_Waits.SW03_Test_Selenium_ExplicitWait","test_VWOLogin_Negative"
"TC#1 : Verify to open the MakeMyTrip Webpage","10240","test_MakeMyTrip_Page_Open","Default Suite","Tue Oct 07 18:24:44 IST 2025","passed","Tue Oct 07 18:24:54 IST 2025","com.avinashsinha.SN04_Selenium_Waits.SW04_Test_Selenium_MiniProject_1","Selenium_Learning","com.avinashsinha.SN04_Selenium_Waits.SW04_Test_Selenium_MiniProject_1","test_MakeMyTrip_Page_Open"
"TC#1 : Verify to Open the URL","43220","test_VerifyOpenURL","Default Suite","Mon Oct 06 11:46:50 IST 2025","passed","Mon Oct 06 11:47:34 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB05_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB05_Test_Selenium","test_VerifyOpenURL"
"TC#1 : Verify the JavaScript Alert","15786","test_VerifyJavaScriptAlert","Default Suite","Tue Oct 07 20:08:11 IST 2025","passed","Tue Oct 07 20:08:27 IST 2025","com.avinashsinha.SN05_Selenium_UI_Elements.SUI05_Test_Selenium_JavaScriptAlert","Selenium_Learning","com.avinashsinha.SN05_Selenium_UI_Elements.SUI05_Test_Selenium_JavaScriptAlert","test_VerifyJavaScriptAlert"
"TC#1 : Verify the InputBox","4928","test_VerifyInputBox","Default Suite","Tue Oct 07 19:24:18 IST 2025","passed","Tue Oct 07 19:24:23 IST 2025","com.avinashsinha.SN05_Selenium_UI_Elements.SUI01_Test_Selenium_InputBox","Selenium_Learning","com.avinashsinha.SN05_Selenium_UI_Elements.SUI01_Test_Selenium_InputBox","test_VerifyInputBox"
"TC#1 : Verify to Open the URL on Edge Browser","8594","test_VerifyOpenURL","Default Suite","Mon Oct 06 11:45:45 IST 2025","passed","Mon Oct 06 11:45:53 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB03_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB03_Test_Selenium","test_VerifyOpenURL"
"TC#1 : Verify the Proxy","10883","test_VerifyProxy","All Test Suite","Sat Oct 04 19:33:25 IST 2025","passed","Sat Oct 04 19:33:35 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB08_Test_Selenium","C:/Users/HP/Documents/Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB08_Test_Selenium","test_VerifyProxy"
"TC#1 : Verify the Error message on the VWO Login Page","11432","test_VWOLogin_Negative","Default Suite","Tue Oct 07 17:53:55 IST 2025","failed","Tue Oct 07 17:54:06 IST 2025","com.avinashsinha.SN04_Selenium_Waits.SW02_Test_Selenium_ImplicitWait","Selenium_Learning","com.avinashsinha.SN04_Selenium_Waits.SW02_Test_Selenium_ImplicitWait","test_VWOLogin_Negative"
"TC#1 : Verify the Error message on the VWO Login Page","16246","test_VWOLogin_Negative","Default Suite","Tue Oct 07 17:00:41 IST 2025","passed","Tue Oct 07 17:00:57 IST 2025","com.avinashsinha.SN04_Selenium_Waits.SW01_Test_Selenium_ThreadSleep","Selenium_Learning","com.avinashsinha.SN04_Selenium_Waits.SW01_Test_Selenium_ThreadSleep","test_VWOLogin_Negative"
"TC#1 : Verify the Error message on the VWO Login Page","18271","test_VWOLogin_Negative","All Test Suite","Sun Oct 05 17:12:34 IST 2025","passed","Sun Oct 05 17:12:52 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB09_Test_Selenium_Project","C:/Users/HP/Documents/Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB09_Test_Selenium_Project","test_VWOLogin_Negative"
